id,split,status,reason
pair_0052,train,keep,"simple nude set with one small accent and clear cleanup value"
pair_0053,train,drop,"extra-long square shape and bead accents remain more fragile than desired"
pair_0054,train,keep,"clean nude close-up with minimal decoration and strong preservation target"
pair_0055,train,drop,"crystal tips still add too much local structure for the strict subset"
pair_0056,val,drop,"blue metallic finish is too reflective and texture-sensitive for validation"
pair_0057,train,keep,"simple french close-up with strong consistency and low redraw risk"
pair_0058,val,maybe,"same close-up and low structure change, but shimmer contrast is still somewhat strong"
pair_0059,train,drop,"large cross ornament makes this too structure-heavy for the narrow set"
pair_0060,train,drop,"oversized crystal accent adds too much content-preservation difficulty"
pair_0061,train,drop,"icy silver extensions and long shape remain too complex for a strict starter set"
pair_0062,train,drop,"illustrative accents make it more design-specific than pure retouch"
pair_0063,train,keep,"simple nude almond set with low complexity and stable framing"
pair_0064,val,keep,"clean french close-up with minimal structure and strong validation value"
pair_0065,train,keep,"promoted for round-two expansion: glitter base is usable and charm load is still moderate"
pair_0066,train,keep,"simple french set with very stable framing and limited detail complexity"
pair_0067,train,drop,"themed art plus charms are still better suited to style learning than retouch"
pair_0068,train,drop,"oversized gem accents remain too redraw-prone"
pair_0069,train,keep,"simple burgundy gradient set with minimal design complexity"
pair_0070,train,keep,"clean pink glossy set and close framing make this a strong core sample"
pair_0071,train,keep,"simple nude ombre set with low ornament load and stable composition"
pair_0072,train,keep,"promoted for round-two expansion: line-art pattern is localized and overall cleanup signal remains useful"
pair_0073,train,keep,"clean two-tone french design with stable geometry and limited decoration"
pair_0074,train,keep,"simple elongated french set with low structure complexity and clear cleanup target"
pair_0075,train,maybe,"small butterfly motif is limited, but still introduces design-specific supervision"
pair_0076,train,drop,"tonal correction is stronger than desired for a strict training core"
pair_0077,train,drop,"large gem accent keeps this too structural for the compact subset"
pair_0078,train,keep,"simple french close-up with clean edges and low redesign risk"
pair_0079,train,keep,"simple nude glossy extensions with stable framing and minimal decoration"
pair_0080,train,maybe,"small butterfly motif is manageable, but still less conservative than keep"
