id,split,status,reason
pair_0048,train,maybe,"same french close-up, though the crop and tone shift are slightly stronger than ideal"
pair_0049,train,maybe,"transparent black-dot design with hanging crystal accents adds structural distraction"
pair_0050,val,keep,"simple nude gradient set with stable framing and low ornament load"
pair_0051,val,maybe,"same green set overall, but small gem accents still add some redraw pressure"
pair_0052,train,keep,"simple nude set with one small accent and clear cleanup value"
pair_0053,train,maybe,"mostly simple white set, but extra-long square shape plus bead accents are a bit fragile"
pair_0054,train,keep,"clean nude close-up with minimal decoration; strong retouch candidate"
pair_0055,train,maybe,"same shape and crop, though crystal tips introduce local structure complexity"
pair_0056,val,drop,"blue metallic set is highly reflective and texture-sensitive; not ideal as retouch validation"
pair_0057,train,keep,"simple french close-up with strong design consistency and low redraw risk"
pair_0058,val,maybe,"same close-up and little structure change, but heavy shimmer contrast can affect supervision"
pair_0059,train,maybe,"same pink set, though large cross ornament adds local content-preservation difficulty"
pair_0060,train,maybe,"same translucent set, but oversized crystal accent is still too structural for keep"
pair_0061,train,maybe,"overall design is preserved, yet icy silver extensions and long shape remain complex"
pair_0062,train,maybe,"small illustrative accents are limited, but still more content-specific than a keep sample"
pair_0063,train,keep,"simple nude almond set with low complexity and stable framing"
pair_0064,val,keep,"clean french close-up with minimal structure and good validation value"
pair_0065,train,maybe,"same purple glitter set, but gold charm and heavier decoration reduce suitability for keep"
pair_0066,train,keep,"simple french set with very stable framing and limited detail complexity"
pair_0067,train,drop,"themed red-and-white art plus charms make this better suited to style learning than retouch"
pair_0068,train,maybe,"same silver set overall, but oversized gem accents create strong redraw risk"
pair_0069,train,keep,"simple burgundy gradient set with minimal design complexity"
pair_0070,train,keep,"clean pink glossy set and close framing make this a strong cleanup example"
pair_0071,train,keep,"simple nude ombre set with low ornament load and stable composition"
pair_0072,train,maybe,"same brown set, but prominent line-art pattern on the thumb adds content-specific detail"
pair_0073,train,keep,"clean two-tone french design with stable geometry and limited decoration"
pair_0074,train,keep,"simple elongated french set with low structure complexity and useful cleanup signal"
pair_0075,train,maybe,"small butterfly motif is limited, but still adds design-specific detail beyond pure retouch"
pair_0076,train,maybe,"same natural overlay set, though the before/after tonal correction is stronger than ideal"
pair_0077,train,maybe,"same translucent set overall, but large gem accent adds local structure complexity"
pair_0078,train,keep,"simple french close-up with clean edges and low redesign risk"
pair_0079,train,keep,"simple nude glossy extensions with stable framing and minimal decoration"
pair_0080,train,maybe,"small butterfly motif is manageable, but still less conservative than a keep sample"
